,territory_code,reassigned_cluster,average_income,total_price,average_income_real,total_price_real,household_code,year,base_income_2020,base_price_2020,base_income_2020_real,base_price_2020_real,base_count_2020,income_pct_change,price_pct_change,count_pct_change
79,27,2,357631.2157960199,260080.32835820896,331140.0146259443,240815.11885019348,134,2021,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-3.11,-2.05,8.94
80,27,2,365134.4837962963,325893.1875,280872.67984330485,250687.06730769228,144,2022,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-17.82,1.96,17.07
81,27,2,369625.16748366016,354901.3823529412,258479.13810046163,248182.78486219663,102,2023,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-24.37,0.95,-17.07
82,27,2,374264.99342105264,377610.40789473685,241461.28607809846,243619.61799660441,152,2024,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-29.35,-0.91,23.58
83,27,3,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111,2020,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,0.0,0.0,0.0
84,27,3,696523.6621315193,167500.02040816325,644929.3167884437,155092.61148904005,147,2021,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-7.55,-1.36,32.43
85,27,3,699246.8220551378,220628.0902255639,537882.1708116445,169713.9155581261,133,2022,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-22.9,7.94,19.82
86,27,3,701456.8434004475,238858.69127516777,490529.261119194,167034.0498427747,149,2023,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-29.68,6.24,34.23
87,27,3,728661.1768162393,259972.9871794872,470103.98504273506,167724.50785773367,156,2024,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-32.61,6.68,40.54
88,31,1,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278,2020,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,0.0,0.0,0.0
89,31,1,282382.69105691055,153645.0406504065,261465.4546823246,142263.92652815417,369,2021,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-11.77,-2.82,32.73
90,31,1,301466.8725182863,190957.2789968652,231897.5942448356,146890.2146129732,319,2022,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-21.75,0.34,14.75
91,31,1,299460.6410472973,228077.64864864864,209413.03569741073,159494.85919485922,296,2023,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-29.34,8.95,6.47
92,31,1,310330.6871539313,239980.0265780731,200213.34655092345,154825.8235987568,301,2024,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-32.44,5.76,8.27
93,31,2,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73,2020,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,0.0,0.0,0.0
94,31,2,340089.1980286738,259850.06451612903,314897.4055821054,240601.91158900835,93,2021,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-10.09,0.15,27.4
95,31,2,361247.56192660553,322642.7889908257,277882.7399435427,248186.76076217362,109,2022,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-20.65,3.31,49.32
96,31,2,371315.9321236559,405706.3870967742,259661.4909955636,283710.7602075344,124,2023,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-25.86,18.09,69.86
97,31,2,377223.99471830984,403012.95774647885,243370.3191731031,260008.35983643797,142,2024,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-30.51,8.23,94.52
98,31,3,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96,2020,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,0.0,0.0,0.0
99,31,3,688189.0545073375,162631.78616352202,637212.0875067939,150584.9871884463,159,2021,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-7.96,-2.05,65.62
100,31,3,751458.9305555555,218607.54761904763,578045.3311965812,168159.652014652,126,2022,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-16.5,9.38,31.25
101,31,3,732329.0022222222,238583.30666666667,512118.18337218335,166841.47319347318,150,2023,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-26.03,8.53,56.25
102,31,3,747647.8269230769,254643.46153846153,482353.43672456575,164286.10421836228,143,2024,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-30.33,6.86,48.96
103,33,1,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23,2020,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,0.0,0.0,0.0
104,33,1,290427.07380952383,144544.54285714286,268913.9572310406,133837.53968253967,35,2021,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-9.78,1.4,52.17
105,33,1,265812.37896825396,213655.7619047619,204471.0607448107,164350.58608058607,42,2022,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-31.4,24.52,82.61
106,33,1,297175.6779141104,230820.43558282207,207815.15938049683,161412.89201595949,163,2023,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-30.28,22.3,608.7
107,33,1,298704.74846625765,252938.42944785277,192712.74094597268,163186.08351474372,163,2024,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-35.35,23.64,608.7
108,33,2,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24,2020,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,0.0,0.0,0.0
109,33,2,409352.2756410256,294419.57692307694,379029.8848528015,272610.71937321936,26,2021,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,9.49,3.69,8.33
110,33,2,368488.30333333334,342826.5733333333,283452.541025641,263712.7487179487,75,2022,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-18.12,0.3,212.5
111,33,2,365859.71974522294,400158.127388535,255845.95786379225,279830.85831366084,157,2023,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-26.09,6.43,554.17
