,territory_code,reassigned_cluster,average_income,total_price,average_income_real,total_price_real,household_code,year,base_income_2020,base_price_2020,base_income_2020_real,base_price_2020_real,base_count_2020,income_pct_change,price_pct_change,count_pct_change
0,11,1,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28,2020,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28.0,0.0,0.0,0.0
1,11,1,300016.34,137068.08,277792.9074074074,126914.88888888888,25,2021,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28.0,-15.08,-14.1,-10.71
2,11,1,343601.53030303033,184302.0,264308.8694638694,141770.76923076922,22,2022,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28.0,-19.2,-4.04,-21.43
3,11,1,281426.72101449274,218130.04347826086,196801.9028073376,152538.49194283978,23,2023,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28.0,-39.84,3.24,-17.86
4,11,1,313954.7733333333,225248.8,202551.46666666667,145321.8064516129,25,2024,327108.4672619048,147745.42857142858,327108.4672619048,147745.42857142858,28.0,-38.08,-1.64,-10.71
5,11,2,332020.828125,251403.125,332020.828125,251403.125,16,2020,332020.828125,251403.125,332020.828125,251403.125,16.0,0.0,0.0,0.0
6,11,2,378467.26190476195,268440.35714285716,350432.6499118166,248555.88624338622,14,2021,332020.828125,251403.125,332020.828125,251403.125,16.0,5.55,-1.13,-12.5
7,11,2,349888.1611111111,327502.6666666667,269144.7393162393,251925.1282051282,15,2022,332020.828125,251403.125,332020.828125,251403.125,16.0,-18.94,0.21,-6.25
8,11,2,313649.0641025641,385347.76923076925,219335.00986193295,269473.9644970414,13,2023,332020.828125,251403.125,332020.828125,251403.125,16.0,-33.94,7.19,-18.75
9,11,2,355173.625,426670.5,229144.2741935484,275271.2903225806,8,2024,332020.828125,251403.125,332020.828125,251403.125,16.0,-30.98,9.49,-50.0
10,11,3,579524.75,133454.8,579524.75,133454.8,5,2020,579524.75,133454.8,579524.75,133454.8,5.0,0.0,0.0,0.0
11,11,3,693131.375,194108.9,641788.3101851852,179730.46296296295,10,2021,579524.75,133454.8,579524.75,133454.8,5.0,10.74,34.68,100.0
12,11,3,659228.6597222222,198378.83333333334,507098.969017094,152599.10256410256,12,2022,579524.75,133454.8,579524.75,133454.8,5.0,-12.5,14.35,140.0
13,11,3,676604.5192307692,229727.6923076923,473150.01344809035,160648.7358795051,13,2023,579524.75,133454.8,579524.75,133454.8,5.0,-18.36,20.38,160.0
14,11,3,811447.375,249180.375,523514.43548387097,160761.53225806452,16,2024,579524.75,133454.8,579524.75,133454.8,5.0,-9.66,20.46,220.0
15,19,1,300152.78125,161006.375,300152.78125,161006.375,8,2020,300152.78125,161006.375,300152.78125,161006.375,8.0,0.0,0.0,0.0
16,19,1,201894.08333333334,173896.77777777778,186938.9660493827,161015.53497942386,9,2021,300152.78125,161006.375,300152.78125,161006.375,8.0,-37.72,0.01,12.5
17,19,1,276742.75,217070.91666666666,212879.03846153847,166977.62820512822,12,2022,300152.78125,161006.375,300152.78125,161006.375,8.0,-29.08,3.71,50.0
18,19,1,332179.5333333333,238888.1,232293.37995337998,167054.6153846154,10,2023,300152.78125,161006.375,300152.78125,161006.375,8.0,-22.61,3.76,25.0
19,19,1,128442.25,223963.16666666666,82865.96774193548,144492.36559139786,6,2024,300152.78125,161006.375,300152.78125,161006.375,8.0,-72.39,-10.26,-25.0
20,19,2,327227.5,320914.53846153844,327227.5,320914.53846153844,13,2020,327227.5,320914.53846153844,327227.5,320914.53846153844,13.0,0.0,0.0,0.0
21,19,2,423228.2738095238,299571.9285714286,391878.0313051146,277381.4153439153,14,2021,327227.5,320914.53846153844,327227.5,320914.53846153844,13.0,19.76,-13.57,7.69
22,19,2,348661.2727272727,388684.1818181818,268200.979020979,298987.8321678322,11,2022,327227.5,320914.53846153844,327227.5,320914.53846153844,13.0,-18.04,-6.83,-15.38
23,19,2,329630.3333333333,425920.25,230510.72261072262,297846.32867132867,12,2023,327227.5,320914.53846153844,327227.5,320914.53846153844,13.0,-29.56,-7.19,-7.69
24,19,2,387631.45098039217,404618.29411764705,250084.80708412392,261044.06072106262,17,2024,327227.5,320914.53846153844,327227.5,320914.53846153844,13.0,-23.57,-18.66,30.77
25,19,3,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6,2020,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6.0,0.0,0.0,0.0
26,19,3,631417.1875,182540.0,584645.5439814815,169018.5185185185,4,2021,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6.0,-47.37,-5.2,-33.33
27,19,3,756430.4166666666,267221.25,581869.5512820513,205554.8076923077,4,2022,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6.0,-47.62,15.29,-33.33
28,19,3,816716.3333333333,282566.6,571130.303030303,197599.020979021,5,2023,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6.0,-48.59,10.83,-16.67
29,19,3,977160.5,306296.25,630426.1290322581,197610.48387096773,4,2024,1110940.0416666667,178294.33333333334,1110940.0416666667,178294.33333333334,6.0,-43.25,10.83,-33.33
30,23,1,302270.25,177983.0,302270.25,177983.0,2,2020,302270.25,177983.0,302270.25,177983.0,2.0,0.0,0.0,0.0
31,23,1,305875.0,202633.0,283217.5925925926,187623.14814814815,1,2021,302270.25,177983.0,302270.25,177983.0,2.0,-6.3,5.42,-50.0
